,,,,,,,,,,
Trade Date,Symbol,Warehouse,Production Year,Opening Price,Closing Price,High,Low,Change,Persetntage Change,Volume (Ton)
03/12/2012,WYCB3,DL,2004,"1,060.00",0.00,"1,060.00","1,060.00",0,0.0 ,12.6
03/14/2012,WYCB3,DL,2004,"1,155.00",0.00,"1,155.00","1,155.00",0,0.0 ,10.8
03/08/2012,WYCB3,DL,2004,"1,150.00",0.00,"1,150.00","1,100.00",0,0.0 ,21.61
03/09/2012,WYCB3,DL,2004,"1,070.00",0.00,"1,070.00","1,068.00",0,0.0 ,211.19
03/06/2012,WYCB3,DL,2004,"1,295.00",0.00,"1,300.00","1,290.00",0,0.0 ,91.8
01/24/2012,WYCB3,DL,2004,"1,390.00",0.00,"1,390.00","1,390.00",0,0.0 ,14.4
01/23/2012,WYCB3,DL,2004,"1,395.00",0.00,"1,395.00","1,395.00",0,0.0 ,8.99
01/19/2012,WYCB3,DL,2004,"1,390.00",0.00,"1,390.00","1,390.00",0,0.0 ,30.6
01/26/2012,WYCB3,DL,2004,"1,400.00",0.00,"1,400.00","1,400.00",0,0.0 ,53.33
01/27/2012,WYCB3,DL,2004,"1,395.00",0.00,"1,400.00","1,395.00",0,0.0 ,34.2
01/31/2012,WYCB3,DL,2004,"1,398.00",0.00,"1,398.00","1,398.00",0,0.0 ,41.4
01/30/2012,WYCB3,DL,2004,"1,395.00",0.00,"1,395.00","1,395.00",0,0.0 ,12.6
02/02/2012,WYCB3,DL,2004,"1,385.00",0.00,"1,385.00","1,385.00",0,0.0 ,20.88
01/12/2012,WYCB3,DL,2004,"1,425.00",0.00,"1,430.00","1,420.00",0,0.0 ,70.84
01/11/2012,WYCB3,DL,2004,"1,375.00",0.00,"1,375.00","1,375.00",0,0.0 ,23.39
01/16/2012,WYCB3,DL,2004,"1,370.00",0.00,"1,381.00","1,370.00",0,0.0 ,64.8
01/17/2012,WYCB3,DL,2004,"1,390.00",0.00,"1,395.00","1,390.00",0,0.0 ,19.81
01/02/2012,WYCB3,DL,2003,"1,300.00",0.00,"1,300.00","1,300.00",0,0.0 ,10.8
01/03/2012,WYCB3,DL,2004,"1,390.00",0.00,"1,390.00","1,390.00",0,0.0 ,55.79
01/04/2012,WYCB3,DL,2004,"1,380.00",0.00,"1,380.00","1,380.00",0,0.0 ,8.99
01/10/2012,WYCB3,DL,2004,"1,360.00",0.00,"1,362.00","1,360.00",0,0.0 ,61.2
01/09/2012,WYCB3,DL,2004,"1,360.00",0.00,"1,370.00","1,360.00",0,0.0 ,28.8
02/07/2012,WYCB3,DL,2004,"1,378.00",0.00,"1,380.00","1,378.00",0,0.0 ,37.81
02/08/2012,WYCB3,DL,2004,"1,370.00",0.00,"1,370.00","1,370.00",0,0.0 ,9.47
02/10/2012,WYCB3,DL,2004,"1,365.00",0.00,"1,365.00","1,365.00",0,0.0 ,12.6
02/16/2012,WYCB3,DL,2004,"1,300.00",0.00,"1,300.00","1,300.00",0,0.0 ,52.21
02/20/2012,WYCB3,DL,2004,"1,282.00",0.00,"1,282.00","1,280.00",0,0.0 ,25.19
02/14/2012,WYCB3,DL,2004,"1,350.00",0.00,"1,350.00","1,345.00",0,0.0 ,40.31
02/15/2012,WYCB3,DL,2004,"1,320.00",0.00,"1,320.00","1,320.00",0,0.0 ,22.3
02/13/2012,WYCB3,DL,2004,"1,360.00",0.00,"1,360.00","1,360.00",0,0.0 ,8.99
02/29/2012,WYCB3,DL,2004,"1,340.00",0.00,"1,340.00","1,340.00",0,0.0 ,27
02/28/2012,WYCB3,DL,2004,"1,320.00",0.00,"1,320.00","1,320.00",0,0.0 ,8.99
03/05/2012,WYCB3,DL,2004,"1,320.00",0.00,"1,320.00","1,320.00",0,0.0 ,46.8
02/23/2012,WYCB3,DL,2004,"1,280.00",0.00,"1,280.00","1,280.00",0,0.0 ,45
02/21/2012,WYCB3,DL,2004,"1,280.00",0.00,"1,280.00","1,275.00",0,0.0 ,72
05/21/2012,WYCB3,DL,2004,"1,290.00",0.00,"1,290.00","1,290.00",0,0.0 ,5.41
05/16/2012,WYCB3,DL,2004,"1,330.00",0.00,"1,330.00","1,325.00",0,0.0 ,19.81
05/22/2012,WYCB3,DL,2004,"1,250.00",0.00,"1,250.00","1,250.00",0,0.0 ,27
